2026-04-14 00:14:03 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 0.658s
2026-04-14 00:14:05 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:05 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.201s
2026-04-14 00:14:05 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:05 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.031s
2026-04-14 00:14:05 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:05 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.289s
2026-04-14 00:14:05 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:05 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:05 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 2.522s
2026-04-14 00:14:08 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:08 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 3.204s
2026-04-14 00:14:08 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:09 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.212s
2026-04-14 00:14:09 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:09 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.256s
2026-04-14 00:14:09 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:09 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:09 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.673s
2026-04-14 00:14:13 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-14 00:14:13 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 4.622s
2026-04-14 00:14:13 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-14 00:14:14 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.208s
2026-04-14 00:14:14 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:14 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.252s
2026-04-14 00:14:14 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.272s
2026-04-14 00:14:14 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
